op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
0;0;0;0;1;0;1;1;0;0;1;0;102;716.426013;90;24.941184;6;4;2;1;2;'INGENIERIA CIVIL INDUSTRIAL';7;A
1;0;0;0;0;0;1;1;0;1;0;0;98;344.79532;83;20.28922;10;6;5;3;3;'INGENIERIA CIVIL INFORMATICA';4.7;A
1;1;0;0;0;1;1;1;0;0;1;1;81;653.914333;62;19.276224;9;5;5;2;2;'INGENIERIA CIVIL INDUSTRIAL';5.9;A
1;1;1;1;1;1;1;1;1;1;1;1;61;798.558076;60;17.362458;2;2;2;0;0;'INGENIERIA CIVIL INDUSTRIAL';5.3;A
1;1;0;1;1;1;1;1;0;1;1;1;62;388.823532;28;11.607717;10;6;4;4;3;'INGENIERIA CIVIL INDUSTRIAL';6.8;A
1;1;1;0;0;1;1;1;1;1;1;1;68;1149.934099;105;24.625407;7;3;5;1;1;'INGENIERIA CIVIL INDUSTRIAL';4.4;A
0;1;1;1;1;1;0;1;1;1;1;1;85;1151.537726;265;37.153424;8;5;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';5.2;A
0;0;0;0;0;1;1;1;0;1;1;1;74;498.611204;86;18.132955;4;2;1;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';6.6;A
1;1;1;0;1;1;1;1;1;1;1;1;63;207.664044;23;9.71277;8;6;3;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';5;A
0;0;0;0;0;0;1;0;0;1;1;0;99;396.212972;157;25.478899;4;3;1;1;2;'INGENIERIA CIVIL INDUSTRIAL';5.4;A
0;1;0;1;0;1;1;1;0;1;1;1;75;845.821943;98;22.377647;8;4;5;2;2;'INGENIERIA CIVIL INFORMATICA';6.2;A
1;1;0;0;0;1;1;1;0;1;1;1;70;251.856304;13;10.641811;8;4;4;3;2;'INGENIERIA INDUSTRIAL';6.4;A
0;0;0;1;0;0;1;1;0;1;1;0;85;408.009779;59;17.357152;8;5;5;1;1;'INGENIERIA INDUSTRIAL';6.3;A
0;1;1;1;1;1;1;1;1;1;1;1;62;388.914283;35;12.037507;7;4;3;2;2;'INGENIERIA CIVIL INFORMATICA';6.6;A
0;1;0;0;0;0;1;1;0;1;1;0;102;1111.695186;99;29.306407;6;3;5;0;0;'INGENIERIA CIVIL INFORMATICA';6.4;A
0;1;0;0;0;0;1;1;0;0;1;1;106;589.726388;95;24.66245;2;2;1;0;1;'INGENIERIA CIVIL INDUSTRIAL';5.9;A
1;0;0;0;0;0;1;1;0;0;1;1;88;878.648432;75;23.356516;10;7;4;4;3;'INGENIERIA CIVIL INDUSTRIAL';6.5;A
1;1;0;1;1;1;1;1;0;1;1;1;65;470.856742;46;13.98016;10;7;4;4;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6.9;A
1;1;0;1;1;0;1;1;0;1;1;1;66;383.72727;26;12.073362;5;3;2;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.6;A
